,City of license / Market,Station,Channel  TV ( RF ),Owned since,Primary affiliation,dma_market,station_clean,dma_code
0,"Huntsville – Decatur, Alabama",WHNT-TV ++,19 (19),2013,CBS,Huntsville-Decatur (Flor),WHNT-TV,691
1,"Fort Smith – Fayetteville, Arkansas",KFSM-TV ++,5 (18),2013,CBS,Raleigh-Durham (Fayetvlle),KFSM-TV,560
2,"Fort Smith – Fayetteville, Arkansas",KXNW ++,34 (34),2013,MyNetworkTV,Raleigh-Durham (Fayetvlle),KXNW,560
3,"Los Angeles, California",KTLA,5 (31),1985,The CW,Los Angeles,KTLA,803
4,"Sacramento – Stockton – Modesto,  California ",KTXL ¤¤,40 (40),1997,Fox,Sacramnto-Stkton-Modesto,KTXL,862
5,"San Diego, California",KSWB-TV,69 (19),1996,Fox,San Diego,KSWB-TV,825
6,Denver,KWGN-TV,2 (34),1966,The CW,Denver,KWGN-TV,751
7,Denver,KDVR ++,31 (32),2013,Fox,Denver,KDVR,751
8,Denver,KFCT ++  (satellite of KDVR),22 (21),2013,Fox,Denver,KFCT,751
9,"Hartford – New Haven, Connecticut",WTIC-TV ¤¤,61 (31),1997,Fox,Hartford & New Haven,WTIC-TV,533
10,Hartford New Haven,WCCT-TV,20 (20),2001,The CW,Hartford & New Haven,WCCT-TV,533
11,"Washington, D.C.",WDCW,50 (50),1999,The CW,"Washington, DC (Hagrstwn)",WDCW,511
12,"Miami – Fort Lauderdale, Florida",WSFL-TV ¤¤,39 (19),1997,The CW,Miami-Ft. Lauderdale,WSFL-TV,528
13,"Chicago, Illinois",WGN-TV **,9 (19),1948,Independent,Chicago,WGN-TV,602
14,"Moline, Illinois ( Quad Cities )",WQAD-TV ++,8 (38),2013,ABC,Davenport-R.Island-Moline,WQAD-TV,682
15,"Bloomington, Indiana",WTTV ¤¤,4 (48),2002,CBS,Peoria-Bloomington,WTTV,675
16,"Indianapolis, Indiana",WXIN,59 (45),1997,Fox,Indianapolis,WXIN,527
17,"Kokomo, Indiana",WTTK  (satellite of WTTV),29 (29),2002,CBS,Indianapolis,WTTK,527
18,"Des Moines, Iowa",WHO-DT ++,13 (13),2013,NBC,Des Moines-Ames,WHO-DT,679
19,"New Orleans, Louisiana",WGNO,26 (26),1983,ABC,New Orleans,WGNO,622
20,"New Orleans, Louisiana",WNOL-TV,38 (15),1999,The CW,New Orleans,WNOL-TV,622
21,"Grand Rapids – Battle Creek -  Kalamazoo, Michigan",WXMI,17 (19),1998,Fox,Grand Rapids-Kalmzoo-B.Crk,WXMI,563
22,"Kansas City, Missouri",WDAF-TV ++,4 (34),2013,Fox,Kansas City,WDAF-TV,616
23,"St. Louis, Missouri",KTVI ++,2 (43),2013,Fox,St. Louis,KTVI,609
24,"St. Louis, Missouri",KPLR-TV,11 (26),2003,The CW,St. Louis,KPLR-TV,609
25,"New York City, New York",WPIX **,11 (11),1948,The CW,New York,WPIX,501
26,"High Point – Greensboro -  Winston-Salem, North Carolina",WGHP ++,8 (35),2013,Fox,Greensboro-H.Point-W.Salem,WGHP,518
27,"Cleveland – Akron, Ohio",WJW ++,8 (8),2013,Fox,Cleveland-Akron (Canton),WJW,510
28,"Oklahoma City, Oklahoma",KFOR-TV ++,4 (27),2013,NBC,Oklahoma City,KFOR-TV,650
29,"Oklahoma City, Oklahoma",KAUT-TV ++,43 (40),2013,Independent,Oklahoma City,KAUT-TV,650
30,"Salem – Portland, OR",KRCW-TV,32 (33),2003,The CW,"Portland, OR",KRCW-TV,820
31,"Philadelphia, Pennsylvania",WPHL-TV,17 (17),1992,MyNetworkTV,Philadelphia,WPHL-TV,504
32,"Scranton – Wilkes Barre,  Pennsylvania ",WNEP-TV ++ ‡‡,16 (50),2013,ABC,Wilkes Barre-Scranton-Hztn,WNEP-TV,577
33,"York – Harrisburg -  Lancaster – Lebanon, PA",WPMT ¤¤,43 (47),1997,Fox,Harrisburg-Lncstr-Leb-York,WPMT,566
34,"Memphis, Tennessee",WREG-TV ++,3 (28),2013,CBS,Memphis,WREG-TV,640
35,"Dallas – Fort Worth, Texas",KDAF ¤¤,33 (32),1997,The CW,Dallas-Ft. Worth,KDAF,623
36,"Houston, Texas",KIAH,39 (38),1995,The CW,Houston,KIAH,618
37,"Salt Lake City, Utah",KSTU ++,13 (28),2013,Fox,Salt Lake City,KSTU,770
38,"Norfolk – Portsmouth, Virginia ( Hampton Roads )",WTKR ++ ‡‡,3 (40),2013,CBS,Norfolk-Portsmth-Newpt Nws,WTKR,544
39,"Norfolk – Portsmouth, Virginia ( Hampton Roads )",WGNT ++ ‡‡,27 (50),2013,The CW,Norfolk-Portsmth-Newpt Nws,WGNT,544
40,Richmond,WTVR-TV ++,6 (25),2013,CBS,Richmond-Petersburg,WTVR-TV,556
41,"Tacoma – Seattle, Washington",KCPQ,13 (13),1999,Fox,Seattle-Tacoma,KCPQ,819
42,"Tacoma – Seattle, Washington",KZJO,22 (25),1998,MyNetworkTV,Seattle-Tacoma,KZJO,819
43,"Milwaukee, Wisconsin",WITI ++,6 (33),2013,Fox,Milwaukee,WITI,617
